iter	Passed	Remaining
416	2441	3413
417	2446	3406
418	2453	3401
419	2460	3397
420	2465	3391
421	2471	3385
422	2479	3382
423	2484	3374
424	2489	3368
425	2495	3362
426	2500	3355
427	2505	3348
428	2511	3342
429	2516	3335
430	2521	3328
431	2527	3323
432	2534	3318
433	2539	3311
434	2542	3302
435	2547	3294
436	2553	3289
437	2557	3282
438	2563	3276
439	2568	3269
440	2573	3262
441	2579	3255
442	2583	3247
443	2587	3239
444	2593	3234
445	2597	3227
446	2603	3220
447	2607	3212
448	2611	3204
449	2616	3197
450	2620	3190
451	2626	3184
452	2632	3178
453	2636	3170
454	2643	3166
455	2647	3158
456	2651	3150
457	2656	3143
458	2661	3136
459	2665	3129
460	2670	3122
461	2676	3116
462	2681	3109
463	2687	3104
464	2693	3098
465	2697	3091
466	2702	3084
467	2707	3077
468	2713	3072
469	2717	3064
470	2722	3057
471	2727	3051
472	2732	3044
473	2737	3037
474	2742	3030
475	2748	3025
476	2752	3017
477	2757	3010
478	2761	3003
479	2766	2997
480	2770	2989
481	2775	2983
482	2781	2977
483	2786	2970
484	2791	2963
485	2795	2957
486	2799	2949
487	2803	2941
488	2809	2936
489	2816	2931
490	2821	2924
491	2826	2917
492	2830	2910
493	2835	2904
494	2840	2897
495	2844	2890
496	2849	2883
497	2856	2879
498	2862	2874
499	2867	2867
500	2873	2861
501	2878	2855
502	2883	2848
503	2888	2842
504	2892	2835
505	2897	2828
506	2902	2822
507	2906	2815
508	2911	2808
509	2916	2802
510	2923	2797
511	2928	2791
512	2933	2784
513	2938	2778
514	2943	2771
515	2950	2767
516	2957	2762
517	2964	2758
518	2968	2751
519	2976	2747
520	2983	2743
521	2988	2736
522	2993	2730
523	2999	2724
524	3004	2718
525	3010	2712
526	3016	2707
527	3022	2702
528	3028	2696
529	3033	2689
530	3038	2683
531	3043	2677
532	3050	2672
533	3055	2666
534	3062	2661
535	3067	2655
536	3071	2648
537	3076	2641
538	3080	2634
539	3087	2630
540	3093	2625
541	3098	2618
542	3103	2611
543	3107	2605
544	3112	2598
545	3117	2592
546	3122	2586
547	3126	2579
548	3131	2572
549	3137	2566
550	3141	2560
551	3148	2555
552	3154	2550
553	3160	2544
554	3165	2538
555	3170	2531
556	3175	2525
557	3181	2520
558	3186	2513
559	3190	2507
560	3195	2500
561	3201	2495
562	3206	2488
563	3212	2483
564	3219	2478
565	3225	2472
566	3229	2466
567	3234	2459
568	3238	2453
569	3245	2448
570	3250	2441
571	3254	2435
572	3260	2429
573	3266	2424
574	3273	2419
575	3279	2414
576	3284	2407
577	3289	2401
578	3294	2395
579	3299	2389
580	3305	2383
581	3310	2377
582	3315	2371
583	3322	2366
584	3327	2360
585	3331	2353
586	3335	2347
587	3340	2340
588	3347	2335
589	3353	2330
590	3359	2325
591	3364	2318
592	3369	2312
593	3373	2306
594	3378	2299
595	3383	2293
596	3389	2287
597	3394	2281
598	3398	2275
599	3405	2270
600	3410	2264
601	3417	2259
602	3422	2253
603	3427	2247
604	3433	2241
605	3438	2235
606	3443	2229
607	3448	2223
608	3453	2217
609	3459	2211
610	3464	2205
611	3469	2199
612	3475	2194
613	3480	2188
614	3485	2182
615	3490	2175
616	3495	2169
617	3499	2163
618	3506	2158
619	3511	2152
620	3518	2147
621	3523	2141
622	3527	2134
623	3533	2129
624	3539	2123
625	3544	2117
626	3550	2112
627	3555	2105
628	3559	2099
629	3564	2093
630	3569	2087
631	3575	2081
632	3581	2076
633	3587	2070
634	3592	2065
635	3598	2059
636	3603	2053
637	3609	2047
638	3616	2043
639	3621	2037
640	3626	2031
641	3632	2025
642	3637	2019
643	3642	2013
644	3646	2007
645	3651	2001
646	3658	1996
647	3663	1989
648	3669	1984
649	3674	1978
650	3680	1973
651	3685	1967
652	3690	1960
653	3695	1954
654	3699	1948
655	3703	1942
656	3707	1935
657	3712	1929
658	3719	1924
659	3723	1918
660	3730	1913
661	3736	1907
662	3741	1901
663	3746	1895
664	3752	1890
665	3756	1883
666	3760	1877
